"","zip","donations","total","total_population","rate_per_1000"
"522","21311",2,34.17,NA,NA
"523","21312",3,210,NA,NA
"524","21315",5,57,NA,NA
"525","21316",3,125,NA,NA
"526","21317",3,33,NA,NA
"527","21318",81,2430.24,NA,NA
"528","21320",9,728.15,NA,NA
"529","21323",2,14.38,NA,NA
"530","21328",20,300,NA,NA
"531","21330",1,50,NA,NA
"532","21331",2,80,NA,NA
"533","21332",2,29,NA,NA
"534","21334",13,63,NA,NA
"535","21336",4,140,NA,NA
"536","2134",1,100,NA,NA
"537","21344",2,25,NA,NA
"538","21346",2,29,NA,NA
"539","21386",3,170,NA,NA
"540","21401",36733,1649639.40000001,38315,958.710687720214
"541","21402",172,9181.1,6669,25.7909731593942
"542","21403",25115,1333098.25000001,31377,800.427064410237
"543","21404",217,8654.4,NA,NA
"544","21405",1726,51961.96,337,5121.66172106825
"545","21406",5,850,NA,NA
"546","21407",1,1010,NA,NA
"547","21408",135,263,NA,NA
"548","21409",11407,445531.429999998,19931,572.324519592594
"549","21410",2,100,NA,NA
"550","21412",6,91.07,NA,NA
"551","21428",21,210,NA,NA
"552","21430",1,40,NA,NA
"553","21442",1,150,NA,NA
"554","21491",22,660,NA,NA
"555","21493",6,133,NA,NA
"556","21498",3,130,NA,NA
"557","21501",45,625,NA,NA
"558","21502",7293,116830.5,42391,172.041235167842
"559","21503",18,648.06,NA,NA
"560","21504",2,50,NA,NA
"561","21509",17,970,NA,NA
"562","2152",1,25,NA,NA
"563","21520",197,8828.13,2200,89.5454545454545
"564","21521",53,890.16,1102,48.0943738656987
"565","21523",6,46,188,31.9148936170213
"566","21524",5,7,775,6.45161290322581
"567","21529",33,886,434,76.036866359447
"568","21530",475,11216.91,1859,255.513717052179
"569","21531",191,4804.52,1868,102.248394004283
"570","21532",1754,43536.08,14726,119.109058807551
"571","21533",3,55.24,NA,NA
"572","21536",466,10208.63,4123,113.024496725685
"573","21538",17,85,410,41.4634146341463
"574","21539",28,785.42,2606,10.7444359171144
"575","21540",1,56.18,102,9.80392156862745
"576","21541",381,19362.08,1421,268.121041520056
"577","21545",55,972.24,1740,31.6091954022989
"578","21550",1946,54859,14077,138.239681750373
"579","21555",229,5493.5,1586,144.388398486759
"580","21557",71,1640.2,1410,50.354609929078
"581","21560",8,127.17,NA,NA
"582","21561",752,17515.69,2464,305.194805194805
"583","21562",202,2810.76,3519,57.4026712134129
"584","21565",2,8,NA,NA
"585","21574",3,110,NA,NA
"586","21591",1,1,NA,NA
"587","21592",5,63,NA,NA
"588","21601",15791,628699.159999997,23399,674.857899910253
"589","21602",26,529,NA,NA
"590","21604",1,25,NA,NA
"591","21607",2,350,737,2.71370420624152
"592","21610",279,3615.8,433,644.341801385681
"593","21612",232,8710.38,381,608.923884514436
"594","21613",3942,120616.03,17132,230.095727293953
"595","21614",1,17,NA,NA
"596","21615",2,12,NA,NA
"597","21617",3054,57825.35,10570,288.930936613056
"598","21618",2,30,NA,NA
"599","21619",3573,96216.2199999999,5964,599.094567404427
"600","21620",7513,422426.169999999,12850,584.669260700389
"601","21622",17,546.72,854,19.9063231850117
"602","21623",282,7916.64,1989,141.779788838612
"603","21624",164,8929.2,175,937.142857142857
"604","21625",258,8292.2,2583,99.883855981417
"605","21627",4,28,0,Inf
"606","21628",119,2211.88,448,265.625
"607","21629",1206,24259.21,9396,128.352490421456
"608","21631",94,3551.46,2814,33.4044065387349
"609","21632",758,8827.55,6078,124.712076340902
"610","21635",611,12718.54,1983,308.119011598588
"611","21636",58,1112,1015,57.1428571428571
"612","21638",1114,33617.01,5130,217.153996101365
"613","21639",559,10110.96,5279,105.891267285471
"614","21640",141,3286.5,1499,94.0627084723149
"615","21641",17,197,88,193.181818181818
"616","21643",740,13598.15,5864,126.193724420191
"617","21645",196,5711.84,1261,155.43219666931
"618","21647",635,15435.86,288,2204.86111111111
"619","21648",4,240,175,22.8571428571429
"620","21649",100,2484.55,1935,51.6795865633075
"621","21650",222,8666,246,902.439024390244
"622","21651",297,5999.56,2894,102.626123013131
"623","21652",249,5809.5,118,2110.16949152542
"624","21653",75,1085,143,524.475524475524
"625","21654",6312,175200.69,986,6401.62271805274
"626","21655",427,15772.76,4747,89.951548346324
"627","21657",61,2836.72,910,67.032967032967
"628","21658",916,52629.99,3987,229.746676699273
"629","21659",1,10,1356,0.737463126843658
"630","21660",722,14024.06,4292,168.219944082013
"631","21661",1339,25956.93,2487,538.399678327302
"632","21662",821,71666.81,418,1964.11483253589
"633","21663",3198,165478.48,3424,933.995327102804
"634","21664",37,803,445,83.1460674157303
"635","21665",141,8093.42,215,655.813953488372
"636","21666",3570,104492.8,12836,278.124026176379
"637","21667",445,7539.39,292,1523.97260273973
"638","21668",148,2688.79,1816,81.4977973568282
"639","21669",146,4473.52,254,574.803149606299
"640","21670",15,29,NA,NA
"641","21671",397,13720.66,984,403.455284552846
"642","21672",6,92,161,37.2670807453416
"643","21673",437,18756.35,3270,133.639143730887
"644","21676",78,9237.36,424,183.962264150943
"645","21677",28,1214,446,62.780269058296
"646","21678",1059,22807.98,1842,574.918566775244
"647","21679",213,5971.21,289,737.024221453287
"648","21691",1,100,NA,NA
"649","21701",24907,631639.180000004,37017,672.853013480293
"650","21702",17174,430403.059999999,41815,410.713858663159
"651","21703",8726,203219.95,37473,232.860993248472
"652","21704",5672,213888.01,16887,335.87967075265
"653","21705",449,9141.1,3,149666.666666667
"654","21706",1,10,NA,NA
"655","21710",1509,45716.58,4859,310.557727927557
"656","21711",30,741,1076,27.8810408921933
"657","21713",1829,40567.69,10728,170.488441461596
"658","21714",426,15300.23,216,1972.22222222222
"659","21715",93,4130,NA,NA
"660","21716",2201,47591.57,5078,433.438361559669
"661","21717",97,3016.26,77,1259.74025974026
"662","21718",165,4618.8,151,1092.71523178808
"663","21719",115,1636.01,1002,114.770459081836
"664","21720",48,1214,NA,NA
"665","21721",4,63,NA,NA
"666","21722",248,4822.03,5748,43.1454418928323
"667","21723",214,7010.54,759,281.949934123847
"668","21727",606,16539.53,6792,89.2226148409894
"669","21728",5,89,NA,NA
"670","21730",4,300,NA,NA
"671","21733",95,2380.62,897,105.908584169454
"672","21734",137,2700,816,167.892156862745
"673","21737",1141,42184.98,2462,463.444354183591
"674","21738",2133,91235.8399999999,3827,557.355631042592
"675","21740",9084,156266.829999999,61768,147.066442170703
"676","21741",26,1301,NA,NA
"677","21742",9377,180980.250000001,33483,280.052563987695
"678","21743",19,188.43,NA,NA
"679","21748",3,112,NA,NA
"680","21749",2,303,NA,NA
"681","21750",1588,25647.74,3694,429.886302111532
"682","21752",4,40,NA,NA
"683","21753",9,294,NA,NA
"684","21754",3459,99558.5199999997,6667,518.82405879706
"685","21755",2271,65008.78,5603,405.3185793325
"686","21756",706,23079.65,3056,231.020942408377
"687","21757",121,3157.34,2793,43.3225921947726
"688","21758",1923,35589.5400000001,5127,375.073142188414
"689","21759",2,67,NA,NA
"690","21762",127,4213.84,202,628.712871287129
"691","21764",1,25,NA,NA
"692","21765",225,2594,NA,NA
"693","21766",28,1177.77,483,57.9710144927536
"694","21767",79,3614.53,650,121.538461538462
"695","21768",4,125,NA,NA
"696","21769",3776,108657.46,11629,324.705477685098
"697","21770",1985,51007.11,5513,360.058044621803
"698","21771",8933,209328.09,29901,298.752550081937
"699","21772",26,183,NA,NA
"700","21773",1692,26795.68,5431,311.544835205303
"701","21774",5176,144050.66,13092,395.355942560342
"702","21775",20,1112,NA,NA
"703","21776",1182,21786.81,5516,214.285714285714
"704","21777",720,13418.1,1868,385.438972162741
"705","21778",187,2955.67,909,205.720572057206
"706","21779",475,6884.26,1032,460.271317829457
"707","21780",227,6613.85,1614,140.644361833953
"708","21781",2,110,153,13.0718954248366
"709","21782",1239,23007.48,4495,275.639599555061
"710","21783",1072,22073.15,8894,120.530694850461
"711","21784",9655,257843.13,37365,258.396895490432
"712","21785",28,1329,NA,NA
"713","21786",1,5,NA,NA
"714","21787",944,30285.63,10173,92.7946525115502
"715","21788",2817,109285.5,11910,236.523929471033
"716","21789",1,100,NA,NA
"717","21790",5,349.24,157,31.8471337579618
"718","21791",1283,18969.6,5245,244.613918017159
"719","21792",26,355,NA,NA
"720","21793",2311,63179.5,10416,221.87019969278
"721","21794",648,27815.85,2277,284.584980237154
"722","21795",1602,25785.01,9147,175.139389963923
"723","21797",3224,169015.34,8873,363.349487208385
"724","21798",331,18457.95,2057,160.913952357803
